Hotel_Name,Reviewer_Score,Total_Number_of_Reviews,lat,lng,Hotel_ID,Total_Reviews_Found
The Grosvenor,10.0,3274,51.4956657,-0.1452793,The Grosvenor_51.496_-0.145,1517.0
The Park Tower Knightsbridge a Luxury Collection Hotel,7.5,901,51.5014191,-0.1625805,The Park Tower Knightsbridge a Luxury Collection Hotel_51.501_-0.163,275.0
Amp re,9.2,998,48.8848583,2.2997023,Amp re_48.885_2.3,172.0
Melia Paris Champs Elys es,8.8,95,48.8688962,2.2827459,Melia Paris Champs Elys es_48.869_2.283,15.0
Le Parisis Paris Tour Eiffel,10.0,1477,48.8494851,2.2955063,Le Parisis Paris Tour Eiffel_48.849_2.296,428.0
Thistle Kensington Gardens,8.8,2134,51.5108439,-0.1839074,Thistle Kensington Gardens_51.511_-0.184,862.0
Park Plaza Sherlock Holmes London,8.3,1496,51.5209191,-0.1566567,Park Plaza Sherlock Holmes London_51.521_-0.157,592.0
Hilton Paris Opera,10.0,458,48.8756604,2.3252075,Hilton Paris Opera_48.876_2.325,109.0
The Kensington Hotel,8.8,874,51.4925478,-0.1780611,The Kensington Hotel_51.493_-0.178,333.0
Holiday Inn London Stratford City,9.6,2130,51.5426054,-0.0072708,Holiday Inn London Stratford City_51.543_-0.007,994.0
Staybridge Suites London Stratford,9.6,945,51.5426351,-0.0073272,Staybridge Suites London Stratford_51.543_-0.007,490.0
Shepherd s Bush Boutique Hotel,10.0,1069,51.5054544,-0.2262216,Shepherd s Bush Boutique Hotel_51.505_-0.226,531.0
My Bloomsbury,9.2,1161,51.5188555,-0.1319172,My Bloomsbury_51.519_-0.132,463.0
Holiday Inn Paris Gare de Lyon Bastille,9.6,2200,48.8468064,2.3714789,Holiday Inn Paris Gare de Lyon Bastille_48.847_2.371,395.0
H tel Chaplain Paris Rive Gauche,7.5,615,48.8427564,2.3305636,H tel Chaplain Paris Rive Gauche_48.843_2.331,133.0
H tel Regina Op ra Grands Boulevards,7.5,287,48.8708508,2.3515882,H tel Regina Op ra Grands Boulevards_48.871_2.352,44.0
11 Cadogan Gardens,9.6,393,51.4936161,-0.1592347,11 Cadogan Gardens_51.494_-0.159,159.0
The Wellesley Knightsbridge a Luxury Collection Hotel London,6.3,185,51.502485,-0.1539265,The Wellesley Knightsbridge a Luxury Collection Hotel London_51.502_-0.154,77.0
Hotel Astor Saint Honor ,9.2,101,48.8728324,2.3193886,Hotel Astor Saint Honor _48.873_2.319,24.0
Op ra Marigny,10.0,735,48.871723,2.3235377,Op ra Marigny_48.872_2.324,115.0
H tel Diva Opera,8.3,1353,48.8732706,2.3450746,H tel Diva Opera_48.873_2.345,233.0
Le Marcel,8.8,413,48.8761376,2.3572681,Le Marcel_48.876_2.357,72.0
H tel Duo,10.0,883,48.8581186,2.3529369,H tel Duo_48.858_2.353,221.0
H tel Le Marianne,8.8,213,48.8725794,2.3075779,H tel Le Marianne_48.873_2.308,56.0
The Rembrandt,7.9,1802,51.4959227,-0.1702917,The Rembrandt_51.496_-0.17,712.0
Hotel Eden,5.8,477,48.8405612,2.2991035,Hotel Eden_48.841_2.299,70.0
H tel de la Bourdonnais,10.0,1337,48.8550466,2.304583,H tel de la Bourdonnais_48.855_2.305,362.0
Ashburn Hotel,5.0,629,51.4945522,-0.1861213,Ashburn Hotel_51.495_-0.186,239.0
Marlin Waterloo,10.0,218,51.4990953,-0.1132136,Marlin Waterloo_51.499_-0.113,84.0
Best Western Premier Marais Grands Boulevards,9.6,1408,48.8687425,2.3541761,Best Western Premier Marais Grands Boulevards_48.869_2.354,232.0
Novotel London Waterloo,10.0,1047,51.4948465,-0.1187481,Novotel London Waterloo_51.495_-0.119,287.0
The Athenaeum,7.9,364,51.504716,-0.1475618,The Athenaeum_51.505_-0.148,189.0
Park International Hotel,7.5,1252,51.4945144,-0.1866172,Park International Hotel_51.495_-0.187,502.0
Lansbury Heritage Hotel,10.0,82,51.5090985,-0.0157302,Lansbury Heritage Hotel_51.509_-0.016,40.0
Le Dokhan s a Tribute Portfolio Hotel,4.2,222,48.8663359,2.2867935,Le Dokhan s a Tribute Portfolio Hotel_48.866_2.287,68.0
Le Relais Madeleine,10.0,479,48.870961,2.3267678,Le Relais Madeleine_48.871_2.327,87.0
Terrass H tel Montmartre by MH,7.9,707,48.8865626,2.3329648,Terrass H tel Montmartre by MH_48.887_2.333,201.0
Millennium Hotel Paris Opera,6.7,515,48.8724588,2.3378004,Millennium Hotel Paris Opera_48.872_2.338,125.0
Waldorf Madeleine,3.3,1184,48.8715828,2.3224853,Waldorf Madeleine_48.872_2.322,281.0
Batty Langley s,10.0,644,51.5208575,-0.0779503,Batty Langley s_51.521_-0.078,345.0
Best Western Mornington Hotel Hyde Park,8.8,2418,51.5119933,-0.1782794,Best Western Mornington Hotel Hyde Park_51.512_-0.178,824.0
Arbor City,10.0,2197,51.5166755,-0.0697897,Arbor City_51.517_-0.07,781.0
Hotel La Lanterne,10.0,499,48.8489839,2.348383,Hotel La Lanterne_48.849_2.348,96.0
H tel Square Louvois,6.7,320,48.8684165,2.336869,H tel Square Louvois_48.868_2.337,72.0
Hotel Marignan Champs Elys es,8.5,645,48.8685093,2.3067895,Hotel Marignan Champs Elys es_48.869_2.307,162.0
Le Grey Hotel,9.6,393,48.881407,2.3274204,Le Grey Hotel_48.881_2.327,76.0
Le Pavillon des Lettres,9.5,164,48.8713699,2.3181191,Le Pavillon des Lettres_48.871_2.318,40.0
H tel San R gis,9.6,277,48.8665788,2.3084447,H tel San R gis_48.867_2.308,74.0
Garden Elys e,7.1,378,48.8663444,2.2881979,Garden Elys e_48.866_2.288,75.0
Hotel Louvre Montana,7.9,325,48.8644627,2.3318473,Hotel Louvre Montana_48.864_2.332,66.0
Ambassadors Bloomsbury,8.8,1521,51.5266618,-0.1296571,Ambassadors Bloomsbury_51.527_-0.13,768.0
Le 123 S bastopol Astotel,9.6,397,48.8675886,2.3531018,Le 123 S bastopol Astotel_48.868_2.353,130.0
Le 123 Elysees Astotel,9.6,171,48.8730823,2.309659,Le 123 Elysees Astotel_48.873_2.31,53.0
The Bryson Hotel,6.3,264,51.5220869,-0.1082443,The Bryson Hotel_51.522_-0.108,130.0
Best Western Mercedes Arc de Triomphe,10.0,368,48.8848292,2.3035189,Best Western Mercedes Arc de Triomphe_48.885_2.304,58.0
London Marriott Hotel Regents Park,6.7,1640,51.5421476,-0.1703073,London Marriott Hotel Regents Park_51.542_-0.17,752.0
Hilton London Hyde Park,7.5,646,51.51046,-0.1875844,Hilton London Hyde Park_51.51_-0.188,259.0
Staunton Hotel B B,7.1,615,51.520378,-0.1303414,Staunton Hotel B B_51.52_-0.13,248.0
1K Hotel,4.2,663,48.8639318,2.3658744,1K Hotel_48.864_2.366,148.0
H tel Westminster,9.2,1374,48.8693409,2.3310263,H tel Westminster_48.869_2.331,313.0
L H tel,10.0,224,48.8562272,2.3351758,L H tel_48.856_2.335,79.0
Mercure Paris Porte d Orleans,7.9,110,48.8178079,2.3293636,Mercure Paris Porte d Orleans_48.818_2.329,10.0
Maxim Op ra,8.3,256,48.8738557,2.3444232,Maxim Op ra_48.874_2.344,35.0
Le Marceau Bastille,9.2,1059,48.8490691,2.3697484,Le Marceau Bastille_48.849_2.37,150.0
Hotel Odeon Saint Germain,9.2,559,48.8513515,2.3375084,Hotel Odeon Saint Germain_48.851_2.338,167.0
Mercure London Bloomsbury Hotel,9.2,1361,51.5210085,-0.1230966,Mercure London Bloomsbury Hotel_51.521_-0.123,602.0
The Chamberlain,10.0,2543,51.5122457,-0.0757326,The Chamberlain_51.512_-0.076,969.0
Radisson Blu Edwardian Grafton,7.1,2826,51.5241386,-0.1380807,Radisson Blu Edwardian Grafton_51.524_-0.138,1354.0
La Villa Haussmann,8.8,283,48.8753446,2.3167161,La Villa Haussmann_48.875_2.317,41.0
London Marriott Hotel Marble Arch,10.0,1505,51.5163841,-0.1635764,London Marriott Hotel Marble Arch_51.516_-0.164,480.0
Saint Georges Hotel,5.8,2092,51.517839,-0.1424476,Saint Georges Hotel_51.518_-0.142,728.0
Park Grand London Lancaster Gate,6.0,1519,51.5132069,-0.1807816,Park Grand London Lancaster Gate_51.513_-0.181,556.0
The Henrietta Hotel,9.6,49,51.5109079,-0.1238221,The Henrietta Hotel_51.511_-0.124,27.0
Sofitel Paris Arc De Triomphe,8.8,825,48.8751845,2.3013214,Sofitel Paris Arc De Triomphe_48.875_2.301,194.0
Hotel Mercure La Sorbonne Saint Germain des Pr s,8.3,464,48.8493499,2.3430569,Hotel Mercure La Sorbonne Saint Germain des Pr s_48.849_2.343,80.0
La Tremoille Paris,6.3,283,48.8668589,2.3028215,La Tremoille Paris_48.867_2.303,76.0
Hotel Op ra Richepanse,10.0,1073,48.8686931,2.325211,Hotel Op ra Richepanse_48.869_2.325,242.0
H tel Duc De St Simon,9.6,379,48.8560685,2.3236846,H tel Duc De St Simon_48.856_2.324,115.0
Hotel Le Six,10.0,177,48.8438352,2.3280708,Hotel Le Six_48.844_2.328,63.0
The Bailey s Hotel London,9.2,2485,51.4938733,-0.1824963,The Bailey s Hotel London_51.494_-0.182,1018.0
London Marriott Hotel Park Lane,9.2,213,51.5131428,-0.1576714,London Marriott Hotel Park Lane_51.513_-0.158,78.0
Best Western Premier Louvre Saint Honor ,6.3,923,48.861711,2.340674,Best Western Premier Louvre Saint Honor _48.862_2.341,205.0
Hotel Indigo London Tower Hill,9.6,781,51.5128032,-0.07586,Hotel Indigo London Tower Hill_51.513_-0.076,346.0
Windermere Hotel,10.0,221,51.4903724,-0.1459218,Windermere Hotel_51.49_-0.146,95.0
La Villa Maillot,9.2,445,48.875551,2.2835191,La Villa Maillot_48.876_2.284,77.0
H tel Madison by MH,8.8,478,48.8531641,2.3344097,H tel Madison by MH_48.853_2.334,101.0
Mercure London Paddington Hotel,4.6,1458,51.5161139,-0.1749521,Mercure London Paddington Hotel_51.516_-0.175,634.0
Hilton London Paddington,5.8,2898,51.515632,-0.175737,Hilton London Paddington_51.516_-0.176,1167.0
London Marriott Hotel Kensington,7.1,449,51.4944849,-0.1884174,London Marriott Hotel Kensington_51.494_-0.188,189.0
Kensington House Hotel,10.0,689,51.5012329,-0.1859937,Kensington House Hotel_51.501_-0.186,269.0
Charlotte Street Hotel,10.0,319,51.5184158,-0.1348509,Charlotte Street Hotel_51.518_-0.135,141.0
The Goring,9.6,200,51.4975621,-0.145551,The Goring_51.498_-0.146,102.0
Novotel Paris 14 Porte d Orl ans,8.8,147,48.8196885,2.3263505,Novotel Paris 14 Porte d Orl ans_48.82_2.326,27.0
The Pelham Starhotels Collezione,10.0,833,51.4943935,-0.1750169,The Pelham Starhotels Collezione_51.494_-0.175,277.0
The Montague On The Gardens,8.8,931,51.520181,-0.1256957,The Montague On The Gardens_51.52_-0.126,414.0
Ritz Paris,9.6,122,48.8679466,2.3289593,Ritz Paris_48.868_2.329,28.0
Hotel Les Rives de Notre Dame,10.0,265,48.8532269,2.3457159,Hotel Les Rives de Notre Dame_48.853_2.346,72.0
Sofitel Paris Le Faubourg,8.8,564,48.868414,2.3213247,Sofitel Paris Le Faubourg_48.868_2.321,137.0
Bassano,8.3,513,48.8690596,2.2971078,Bassano_48.869_2.297,100.0
Best Western Premier Le Swann,7.5,601,48.8797331,2.3206003,Best Western Premier Le Swann_48.88_2.321,91.0
H tel des Academies et des Arts,10.0,215,48.8420669,2.3304091,H tel des Academies et des Arts_48.842_2.33,50.0
Hotel Lumen Paris Louvre,10.0,289,48.8652582,2.3329632,Hotel Lumen Paris Louvre_48.865_2.333,70.0
Le Marquis Eiffel,10.0,489,48.8516619,2.2979395,Le Marquis Eiffel_48.852_2.298,121.0
COQ Hotel Paris,10.0,1682,48.8328764,2.3572531,COQ Hotel Paris_48.833_2.357,258.0
Mill sime H tel,10.0,656,48.8550236,2.3350786,Mill sime H tel_48.855_2.335,167.0
The Leonard Hotel,7.5,1330,51.5147071,-0.1578291,The Leonard Hotel_51.515_-0.158,435.0
DoubleTree by Hilton London Hyde Park,9.2,2405,51.5100362,-0.190657,DoubleTree by Hilton London Hyde Park_51.51_-0.191,945.0
The Ritz London,9.6,831,51.5069446,-0.1415776,The Ritz London_51.507_-0.142,406.0
M by Montcalm Shoreditch London Tech City,8.8,4802,51.5278465,-0.0889473,M by Montcalm Shoreditch London Tech City_51.528_-0.089,2155.0
Legend Saint Germain by Elegancia,9.6,406,48.8453774,2.3256427,Legend Saint Germain by Elegancia_48.845_2.326,78.0
Clayton Crown Hotel London,6.7,2491,51.5561548,-0.2141824,Clayton Crown Hotel London_51.556_-0.214,1079.0
Au Manoir Saint Germain,8.8,616,48.853688,2.3322667,Au Manoir Saint Germain_48.854_2.332,166.0
St Paul s Hotel,10.0,812,51.4934752,-0.2153256,St Paul s Hotel_51.493_-0.215,381.0
Best Western S vres Montparnasse,10.0,1544,48.843707,2.3155631,Best Western S vres Montparnasse_48.844_2.316,188.0
The Bloomsbury Hotel,9.6,1254,51.5171671,-0.1290534,The Bloomsbury Hotel_51.517_-0.129,539.0
Nolinski Paris,9.6,437,48.8654874,2.3348924,Nolinski Paris_48.865_2.335,113.0
Le Tourville Eiffel,8.8,545,48.8542681,2.3078116,Le Tourville Eiffel_48.854_2.308,140.0
Paris Marriott Opera Ambassador Hotel,6.7,263,48.8728351,2.3362507,Paris Marriott Opera Ambassador Hotel_48.873_2.336,66.0
Hotel Indigo London Paddington,9.2,602,51.5150534,-0.1739974,Hotel Indigo London Paddington_51.515_-0.174,268.0
Idol Hotel,8.3,560,48.8795369,2.3202966,Idol Hotel_48.88_2.32,104.0
H tel California Champs Elys es,5.0,1332,48.8726335,2.3048084,H tel California Champs Elys es_48.873_2.305,275.0
Hotel de Seze,7.9,489,48.8705741,2.3264194,Hotel de Seze_48.871_2.326,80.0
Number Sixteen,10.0,270,51.4930905,-0.1755022,Number Sixteen_51.493_-0.176,87.0
Hotel Xenia Autograph Collection,8.8,682,51.4946905,-0.1910197,Hotel Xenia Autograph Collection_51.495_-0.191,296.0
H tel Hor,9.6,1090,48.8793427,2.3577745,H tel Hor_48.879_2.358,330.0
Britannia International Hotel Canary Wharf,7.9,9086,51.5019097,-0.0232208,Britannia International Hotel Canary Wharf_51.502_-0.023,4789.0
Best Western Op ra Batignolles,6.3,859,48.8870573,2.3143297,Best Western Op ra Batignolles_48.887_2.314,101.0
H tel de Banville,10.0,493,48.8864673,2.2948911,H tel de Banville_48.886_2.295,104.0
Villa Eugenie,4.6,165,48.8871283,2.314205,Villa Eugenie_48.887_2.314,62.0
Hilton London Euston,5.8,843,51.5265189,-0.1303689,Hilton London Euston_51.527_-0.13,470.0
Egerton House,8.3,199,51.4968406,-0.1675498,Egerton House_51.497_-0.168,76.0
Millennium Hotel London Knightsbridge,7.1,2746,51.4999683,-0.1599927,Millennium Hotel London Knightsbridge_51.5_-0.16,1007.0
H tel Raphael,7.5,282,48.8713239,2.2937849,H tel Raphael_48.871_2.294,78.0
Le 7 Eiffel Hotel,7.1,316,48.8585193,2.3077243,Le 7 Eiffel Hotel_48.859_2.308,76.0
Paris Marriott Rive Gauche Hotel,5.4,239,48.8315962,2.3399796,Paris Marriott Rive Gauche Hotel_48.832_2.34,46.0
Hotel La Place,4.6,301,51.5215257,-0.1533039,Hotel La Place_51.522_-0.153,125.0
Hotel Le Pera,9.6,229,48.871309,2.3277079,Hotel Le Pera_48.871_2.328,22.0
H tel Bedford,9.6,1703,48.8720593,2.3236802,H tel Bedford_48.872_2.324,376.0
Drawing Hotel,10.0,67,48.8644382,2.3359148,Drawing Hotel_48.864_2.336,14.0
Novotel Paris Centre Gare Montparnasse,9.6,1363,48.838484,2.3150904,Novotel Paris Centre Gare Montparnasse_48.838_2.315,247.0
D clic Hotel,8.8,360,48.8908018,2.3380204,D clic Hotel_48.891_2.338,59.0
Villa d Estr es,9.2,59,48.8535089,2.3425787,Villa d Estr es_48.854_2.343,29.0
Bulgari Hotel London,10.0,169,51.5015721,-0.1628511,Bulgari Hotel London_51.502_-0.163,37.0
Novotel London Greenwich,7.9,924,51.4778583,-0.0137463,Novotel London Greenwich_51.478_-0.014,504.0
Park Avenue Baker Street,7.9,1913,51.5241452,-0.1609907,Park Avenue Baker Street_51.524_-0.161,851.0
Hotel Plaza Elys es,9.6,563,48.8746128,2.3056956,Hotel Plaza Elys es_48.875_2.306,105.0
Hotel Champs Elys es Friedland by Happyculture,9.2,424,48.8750848,2.3048372,Hotel Champs Elys es Friedland by Happyculture_48.875_2.305,105.0
Malmaison London,8.3,1374,51.520943,-0.1004581,Malmaison London_51.521_-0.1,763.0
The Park City Grand Plaza Kensington Hotel,10.0,667,51.4954976,-0.1893691,The Park City Grand Plaza Kensington Hotel_51.495_-0.189,235.0
Park Plaza London Riverbank,9.2,4684,51.4913737,-0.1214194,Park Plaza London Riverbank_51.491_-0.121,2167.0
Pullman Paris Tour Eiffel,8.8,2764,48.8555664,2.2926243,Pullman Paris Tour Eiffel_48.856_2.293,846.0
Danubius Hotel Regents Park,7.1,1294,51.529257,-0.168358,Danubius Hotel Regents Park_51.529_-0.168,593.0
Hotel Bachaumont,9.2,625,48.8663208,2.3450399,Hotel Bachaumont_48.866_2.345,156.0
Franklin Roosevelt,6.7,402,48.8678432,2.3033075,Franklin Roosevelt_48.868_2.303,88.0
H tel Horset Op ra Best Western Premier Collection,6.3,941,48.8691686,2.3337818,H tel Horset Op ra Best Western Premier Collection_48.869_2.334,199.0
Best Western Paris Gare Saint Lazare,7.1,759,48.8803752,2.319591,Best Western Paris Gare Saint Lazare_48.88_2.32,78.0
Splendide Royal Paris,8.3,59,48.8709627,2.3154141,Splendide Royal Paris_48.871_2.315,16.0
The Rockwell,7.1,1470,51.4948059,-0.1926525,The Rockwell_51.495_-0.193,552.0
The LaLit London,6.3,136,51.5032524,-0.078179,The LaLit London_51.503_-0.078,62.0
Mercure Paris Alesia,8.3,589,48.8237487,2.324056,Mercure Paris Alesia_48.824_2.324,74.0
Courthouse Hotel London,6.7,1786,51.5143624,-0.1394483,Courthouse Hotel London_51.514_-0.139,867.0
Best Western The Boltons Hotel London Kensington,10.0,1573,51.4907493,-0.1934627,Best Western The Boltons Hotel London Kensington_51.491_-0.193,549.0
Radisson Blu Edwardian Sussex,7.9,1295,51.5144381,-0.1558337,Radisson Blu Edwardian Sussex_51.514_-0.156,573.0
Hotel The Peninsula Paris,9.6,275,48.8710605,2.2933537,Hotel The Peninsula Paris_48.871_2.293,58.0
Le Narcisse Blanc Spa,10.0,222,48.8605125,2.3106533,Le Narcisse Blanc Spa_48.861_2.311,57.0
The Pillar Hotel,10.0,215,51.583236,-0.216868,The Pillar Hotel_51.583_-0.217,101.0
Crowne Plaza London The City,7.5,488,51.5122429,-0.1045036,Crowne Plaza London The City_51.512_-0.105,214.0
H tel Les Dames du Panth on,9.6,234,48.845743,2.34493,H tel Les Dames du Panth on_48.846_2.345,70.0
H tel Victor Hugo Paris Kl ber,7.1,236,48.8690198,2.2891278,H tel Victor Hugo Paris Kl ber_48.869_2.289,48.0
Grand Hotel Saint Michel,8.3,625,48.8478399,2.342254,Grand Hotel Saint Michel_48.848_2.342,155.0
Hotel Maison Ath n e,7.5,346,48.8713421,2.3280723,Hotel Maison Ath n e_48.871_2.328,91.0
Relais Du Louvre,9.6,406,48.8592264,2.340996,Relais Du Louvre_48.859_2.341,88.0
Pullman Paris Montparnasse,4.2,1501,48.8382943,2.3210421,Pullman Paris Montparnasse_48.838_2.321,266.0
Best Western Ducs de Bourgogne,9.6,684,48.8603483,2.3440535,Best Western Ducs de Bourgogne_48.86_2.344,142.0
Best Western Premier Op ra Opal,7.9,772,48.8722588,2.3257608,Best Western Premier Op ra Opal_48.872_2.326,141.0
Amarante Champs Elys es,7.9,464,48.8717649,2.2983855,Amarante Champs Elys es_48.872_2.298,102.0
The Gore Hotel Starhotels Collezione,7.1,968,51.5001979,-0.1795357,The Gore Hotel Starhotels Collezione_51.5_-0.18,521.0
The Hoxton Holborn,10.0,1740,51.5172398,-0.1220324,The Hoxton Holborn_51.517_-0.122,755.0
Mercure London Kensington Hotel,9.2,1016,51.4950098,-0.1906195,Mercure London Kensington Hotel_51.495_-0.191,442.0
Royal Garden Hotel,9.6,2213,51.5027022,-0.1882164,Royal Garden Hotel_51.503_-0.188,874.0
Boundary Rooms Suites,9.6,45,51.5244224,-0.0764614,Boundary Rooms Suites_51.524_-0.076,12.0
H tel Ad le Jules,7.5,376,48.8721062,2.3451384,H tel Ad le Jules_48.872_2.345,89.0
Grange White Hall Hotel,4.2,468,51.5203469,-0.1260893,Grange White Hall Hotel_51.52_-0.126,210.0
Hilton London Bankside,8.8,2319,51.5056956,-0.101525,Hilton London Bankside_51.506_-0.102,893.0
DoubleTree by Hilton London Ealing,7.5,1494,51.511521,-0.290706,DoubleTree by Hilton London Ealing_51.512_-0.291,680.0
